Index,V1,V2,Noise,class
841,358,359,355,0
842,354,361,357
843,360,359,354
844,357,359,354
845,358,359,353
846,357,359,353
847,358,359,353
848,356,359,354
849,359,359,354
850,355,359,354
851,358,360,354
852,359,370,355
853,250,460,407
854,469,465,448
855,557,479,459
856,557,461,440
857,591,391,420
858,523,335,395
859,632,434,398
860,451,385,387
861,514,365,379
862,420,376,362
863,368,401,371
864,366,395,400
865,295,385,363
866,439,385,391
867,469,418,386
868,393,405,396
869,315,393,380
870,347,361,374
871,338,388,370
872,378,312,354
873,374,426,381
874,279,361,354
875,268,402,377
876,258,393,379
877,331,372,365
878,300,412,390
879,261,380,372
880,348,405,380
881,327,350,359
882,289,310,327
883,319,368,337
884,294,351,339
885,329,320,341
886,301,361,338
887,348,309,340
888,340,350,341
889,327,343,325
890,291,313,331
