Index,V1,V2,Noise,class
1100,356,358,353,0
1101,356,363,355
1102,356,360,355
1103,360,359,354
1104,356,360,353
1105,358,359,354
1106,358,360,355
1107,357,361,354
1108,356,359,355
1109,355,360,355
1110,357,360,355
1111,357,359,355
1112,367,320,343
1113,513,308,337
1114,673,249,307
1115,712,262,308
1116,713,213,281
1117,713,296,316
1118,712,309,343
1119,454,340,337
1120,412,324,333
1121,530,367,363
1122,456,365,364
1123,500,358,350
1124,500,302,349
1125,566,389,371
1126,649,355,381
1127,677,342,378
1128,665,305,362
1129,548,356,368
1130,535,365,370
1131,564,352,357
1132,540,371,364
1133,472,394,375
1134,600,348,356
1135,486,337,363
1136,477,356,356
1137,428,341,337
1138,459,328,335
1139,412,349,336
1140,439,314,331
1141,403,357,339
1142,380,299,315
1143,307,352,329
1144,309,313,324
1145,333,368,335
1146,294,319,338
1147,373,343,327
1148,282,355,336
1149,343,348,330
1150,340,323,326
1151,377,327,323
1152,283,305,317
1153,313,350,316
1154,369,348,325
1155,320,318,319
1156,308,361,339
1157,344,341,330
1158,286,338,322
1159,295,355,334
