Index,V1,V2,Noise,class
457,305,332,329,0
458,380,319,337
459,374,306,326
460,367,321,304
461,341,290,342
462,315,370,319
463,409,280,293
464,707,0,133
465,242,0,64
466,708,0,29
467,197,654,414
468,187,668,502
469,107,480,481
470,413,463,454
471,711,444,440
472,712,395,391
473,521,311,309
474,361,163,213
475,54,195,204
476,77,239,249
477,63,335,320
478,103,409,364
479,267,388,394
480,406,404,389
481,464,344,352
482,461,307,295
483,394,347,316
484,355,353,336
485,278,336,345
486,250,389,364
487,281,391,370
488,328,366,366
489,370,376,375
490,414,339,350
491,415,406,381
492,413,397,375
493,378,391,384
494,397,387,360
495,345,376,362
496,374,382,367
497,336,353,353
498,364,361,355
499,381,359,356
