Index,V1,V2,Noise,class
311,348,345,341,0
312,254,350,339
313,389,327,326
314,320,353,349
315,381,357,337
316,351,369,353
317,306,361,351
318,318,363,357
319,361,359,353
320,325,360,353
321,514,359,356
322,470,359,353
323,417,357,353
324,244,362,349
325,0,360,350
326,277,358,350
327,52,360,349
328,490,359,354
329,522,359,354
330,512,358,353
331,355,359,353
332,355,359,352
333,350,360,352
334,130,369,354
335,78,363,368
336,94,441,441
337,240,572,510
338,389,646,561
339,432,576,581
340,376,545,541
341,395,465,477
342,458,396,420
343,392,351,385
344,392,352,362
345,398,383,383
346,279,437,419
347,321,467,436
348,297,468,440
349,388,418,415
350,375,407,414
351,358,403,400
352,378,380,402
353,363,392,381
354,347,358,390
355,346,399,379
356,298,361,354
357,400,368,359
358,371,345,357
359,409,350,353
360,371,418,377
