Index,V1,V2,Noise,class
626,330,381,364,1
627,319,366,360
628,297,379,361
629,362,391,368
630,328,392,382
631,296,378,383
632,337,359,372
633,359,381,362
634,333,360,374
635,330,363,367
636,319,360,358
637,182,348,344
638,584,307,301
639,374,4,137
640,349,0,69
641,288,0,38
642,142,713,419
643,50,669,489
644,366,470,463
645,441,438,443
646,713,404,410
647,701,344,354
648,447,268,283
649,373,251,264
650,169,266,265
651,31,298,293
652,51,358,338
653,90,431,372
654,220,383,381
655,336,431,402
656,436,356,359
657,454,354,377
658,394,371,364
659,365,359,371
660,399,381,373
661,375,387,370
662,255,403,397
663,317,420,391
664,292,384,386
665,400,378,387
666,332,369,371
667,406,365,390
668,408,369,391
669,357,373,397
670,321,389,382
671,340,351,371
672,300,377,366
673,320,350,363
674,439,393,380
