Index,V1,V2,Noise,class
280,359,349,354,0.0
281,318,347,353,
282,341,341,354,
283,354,350,343,
284,316,366,356,
285,323,362,350,
286,309,354,359,
287,310,362,363,
288,323,344,347,
289,323,343,355,
290,305,361,350,
291,295,353,351,
292,308,358,355,
293,309,357,355,
294,314,336,326,
295,312,337,345,
296,315,366,351,
297,309,371,364,
298,319,366,357,
299,316,349,326,
300,280,311,277,
301,436,263,196,
302,462,164,90,
303,397,0,42,
304,392,0,107,
305,240,503,445,
306,0,651,452,
307,289,528,463,
308,472,417,374,
309,626,380,374,
310,711,350,308,
311,636,256,243,
312,469,204,223,
313,378,173,195,
314,288,205,219,
315,93,216,191,
316,98,252,325,
317,175,380,372,
318,281,406,374,
319,403,357,335,
320,486,374,381,
321,460,402,362,
322,435,371,345,
323,487,321,266,
324,489,336,325,
325,403,313,313,
326,361,386,406,
327,321,471,418,
328,273,405,368,
329,318,380,375,
330,331,350,361,
331,364,381,406,
332,350,422,384,
333,404,362,336,
334,426,352,272,
335,392,356,404,
336,374,371,410,
337,305,421,412,
338,271,437,410,
339,306,408,401,
340,360,381,355,
341,385,402,405,
342,366,437,384,
343,348,429,396,
344,316,406,384,
345,303,340,363,
346,344,350,362,
347,352,384,353,
348,352,376,383,
349,332,369,334,
350,302,358,366,
351,288,404,384,
352,303,360,360,
353,310,354,402,
354,328,401,363,
355,347,379,382,
356,299,384,354,
357,299,338,345,
358,327,345,371,
359,313,329,303,
360,324,330,371,
