Index,V1,V2,Noise,class
590,360,360,353,0.0
591,359,359,353,
592,358,359,354,
593,358,360,354,
594,358,359,354,
595,357,359,353,
596,356,359,353,
597,357,359,353,
598,358,359,353,
599,358,363,366,
600,324,413,427,
601,349,496,489,
602,434,529,507,
603,456,514,487,
604,494,496,473,
605,503,452,424,
606,468,384,370,
607,453,341,349,
608,407,329,327,
609,410,347,354,
610,440,371,367,
611,450,379,375,
612,421,377,366,
613,423,365,366,
614,430,356,370,
615,412,359,345,
616,401,387,388,
617,408,421,401,
618,402,414,393,
619,366,396,386,
620,375,372,360,
621,377,369,368,
622,388,380,367,
623,367,371,363,
624,354,375,375,
625,381,377,380,
626,405,388,384,
627,388,387,377,
628,353,380,387,
629,323,394,387,
630,342,404,393,
631,353,404,395,
632,363,390,378,
633,354,391,378,
634,312,384,373,
635,298,372,371,
636,291,362,371,
637,276,379,373,
638,303,377,372,
639,360,384,384,
640,334,406,395,
641,299,385,378,
642,288,373,375,
643,303,372,375,
644,341,397,387,
645,346,405,389,
646,313,383,381,
647,281,376,372,
648,301,381,367,
649,333,385,388,
650,324,378,378,
651,323,387,383,
652,333,393,371,
653,316,375,363,
654,300,361,378,
655,326,364,373,
656,338,374,357,
657,343,352,373,
658,365,352,361,
659,342,362,352,
660,325,356,345,
