Index,V1,V2,Noise,class
1050,354,360,353,0.0
1051,353,359,353,
1052,358,360,356,
1053,359,358,355,
1054,356,358,354,
1055,359,359,354,
1056,358,358,354,
1057,358,359,354,
1058,358,358,354,
1059,356,358,353,
1060,356,359,354,
1061,357,360,367,
1062,338,404,428,
1063,306,478,462,
1064,529,506,503,
1065,699,514,489,
1066,711,478,496,
1067,709,443,453,
1068,634,446,424,
1069,586,422,421,
1070,624,413,397,
1071,627,391,388,
1072,583,409,418,
1073,541,411,386,
1074,495,405,411,
1075,435,416,402,
1076,427,411,415,
1077,489,416,401,
1078,550,402,389,
1079,529,417,413,
1080,473,418,393,
1081,410,400,375,
1082,383,386,387,
1083,352,371,375,
1084,332,354,367,
1085,349,388,374,
1086,327,392,398,
1087,329,406,418,
1088,360,430,397,
1089,342,403,398,
