Index,V1,V2,Noise,class
175,310,326,318,0.0
176,357,328,327,
177,342,340,334,
178,330,349,337,
179,355,338,325,
180,328,334,328,
181,305,348,331,
182,322,341,340,
183,357,335,334,
184,333,355,344,
185,334,348,323,
186,403,301,294,
187,477,218,169,
188,395,105,81,
189,385,0,38,
190,348,84,342,
191,1,510,509,
192,260,591,442,
193,296,429,429,
194,436,412,416,
195,651,382,363,
196,648,312,290,
197,549,222,219,
198,438,160,181,
199,256,202,220,
200,109,246,248,
201,75,287,312,
202,197,369,383,
203,291,421,419,
204,410,377,390,
205,544,309,347,
206,568,344,350,
207,462,345,321,
208,364,317,310,
209,331,336,334,
210,353,337,357,
211,402,380,395,
212,378,419,394,
213,397,387,381,
214,421,380,380,
215,383,369,333,
216,419,369,393,
217,463,397,396,
218,445,377,383,
219,396,373,379,
