Index,V1,V2,Noise,class
760,288,374,364,0.0
761,315,377,381,
762,350,367,351,
763,368,366,372,
764,355,389,377,
765,311,380,361,
766,297,366,370,
767,347,364,347,
768,364,359,362,
769,350,354,350,
770,335,376,384,
771,359,390,374,
772,344,374,367,
773,341,362,348,
774,360,338,350,
775,319,355,348,
776,314,354,373,
777,316,366,374,
778,296,384,361,
779,224,359,361,
780,442,359,356,
781,453,357,357,
782,450,360,353,
783,423,362,353,
784,205,359,351,
785,355,358,355,
786,496,359,359,
787,643,360,359,
788,649,359,354,
789,438,359,351,
790,171,359,349,
791,103,359,349,
792,88,359,349,
793,92,356,352,
794,187,389,397,
795,333,434,415,
796,408,447,415,
797,445,434,402,
798,464,398,360,
799,449,379,371,
800,423,371,367,
801,373,359,359,
802,344,366,359,
803,322,384,399,
804,285,403,413,
805,286,418,406,
806,296,411,414,
807,335,401,401,
808,362,394,388,
809,360,385,383,
810,375,386,373,
811,344,388,392,
812,355,390,378,
813,375,369,361,
814,320,353,343,
815,317,356,351,
816,340,325,313,
817,326,353,373,
818,366,400,380,
819,390,389,370,
820,360,371,367,
821,355,364,358,
