Index,V1,V2,Noise,class
526,305,251,238,1.0
527,338,277,321,
528,367,324,300,
529,328,346,317,
530,326,331,308,
531,282,313,291,
532,319,265,255,
533,410,254,279,
534,406,300,327,
535,400,338,340,
536,299,361,350,
537,359,358,353,
538,435,357,351,
539,412,359,351,
540,347,360,351,
541,209,359,352,
542,334,359,355,
543,493,360,356,
544,634,359,358,
545,712,359,358,
546,626,359,354,
547,442,358,353,
548,278,358,351,
549,163,362,365,
550,108,400,401,
551,109,469,487,
552,323,534,536,
553,461,554,529,
554,504,551,531,
555,495,505,496,
556,443,463,454,
557,362,434,418,
558,251,373,389,
559,253,405,422,
560,274,448,436,
561,283,463,469,
562,352,474,464,
563,388,468,475,
564,445,459,451,
565,451,444,429,
566,408,412,404,
567,381,403,408,
568,341,400,386,
569,350,387,393,
570,357,404,416,
571,394,415,409,
572,411,415,403,
573,366,396,393,
574,370,377,363,
575,380,390,387,
576,375,399,389,
577,395,406,396,
578,384,403,385,
579,379,393,387,
580,366,376,366,
581,332,378,379,
582,332,381,364,
583,332,360,356,
584,319,360,357,
585,304,361,353,
586,304,366,370,
587,319,370,363,
588,331,363,357,
589,313,351,352,
590,298,350,341,
591,304,345,347,
592,266,356,349,
593,291,354,348,
594,336,342,342,
595,296,337,340,
596,280,319,317,
597,290,341,340,
598,310,351,332,
599,334,339,345,
600,311,341,343,
601,322,330,326,
602,320,342,336,
603,312,349,337,
