Index,V1,V2,Noise,class
841,358,359,355,0.0
842,356,360,357,
843,357,360,354,
844,358,359,354,
845,357,359,353,
846,357,359,353,
847,357,359,353,
848,357,359,354,
849,357,359,354,
850,357,359,354,
851,356,359,354,
852,358,365,355,
853,309,417,407,
854,375,462,448,
855,514,472,459,
856,557,470,440,
857,574,427,420,
858,558,364,395,
859,580,387,398,
860,549,410,387,
861,483,375,379,
862,469,370,362,
863,394,388,371,
864,367,398,400,
865,332,390,363,
866,373,385,391,
867,454,401,386,
868,432,411,396,
869,356,399,380,
870,331,377,374,
871,342,374,370,
872,358,352,354,
873,376,373,381,
874,329,394,354,
875,273,382,377,
876,263,397,379,
877,296,382,365,
878,315,392,390,
879,281,396,372,
880,307,392,380,
881,337,378,359,
882,308,330,327,
883,304,340,337,
884,306,359,339,
885,311,335,341,
886,315,341,338,
887,325,336,340,
888,344,330,341,
889,333,346,325,
890,309,328,331,
