Index,V1,V2,Noise,class
411,375,372,369,1.0
412,366,370,368,
413,349,365,367,
414,354,357,365,
415,349,375,370,
416,329,380,381,
417,328,378,386,
418,349,389,384,
419,334,385,380,
420,313,375,363,
421,278,363,357,
422,364,359,356,
423,465,358,348,
424,353,357,355,
425,383,360,351,
426,367,362,352,
427,126,360,353,
428,135,359,350,
429,206,359,343,
430,387,358,351,
431,430,358,352,
432,343,359,350,
433,250,360,352,
434,272,360,351,
435,263,367,371,
436,213,399,403,
437,197,470,486,
438,154,572,557,
439,255,605,573,
440,402,553,522,
441,428,521,511,
442,415,480,454,
443,457,416,408,
444,407,399,420,
445,322,427,439,
446,315,464,463,
447,342,483,475,
448,374,490,476,
449,373,471,453,
450,340,433,426,
451,322,401,389,
452,298,394,384,
453,316,370,361,
454,329,367,380,
455,414,391,384,
456,424,379,366,
457,360,370,360,
458,338,368,361,
459,286,374,380,
460,300,385,382,
461,362,372,385,
462,392,374,371,
463,350,372,360,
464,316,360,358,
465,361,359,344,
466,388,333,329,
467,382,333,329,
468,388,327,325,
469,401,317,322,
470,370,305,313,
