Index,V1,V2,Noise,class
526,357,361,359,0.0
527,365,366,369,
528,385,368,361,
529,402,364,355,
530,398,355,347,
531,378,342,362,
532,348,347,358,
533,338,372,361,
534,315,372,354,
535,380,359,356,
536,500,358,354,
537,492,357,353,
538,400,359,351,
539,251,362,350,
540,103,360,352,
541,212,358,355,
542,376,359,356,
543,462,359,354,
544,394,359,354,
545,328,359,352,
546,286,359,350,
547,158,360,350,
548,76,359,350,
549,65,390,420,
550,54,453,484,
551,265,572,566,
552,395,624,560,
553,434,545,511,
554,487,505,493,
555,517,470,444,
556,451,415,426,
557,437,416,413,
558,446,428,430,
559,385,461,448,
560,345,471,466,
561,372,468,462,
562,391,436,422,
563,378,404,401,
564,362,413,407,
565,423,413,408,
566,491,407,404,
567,494,396,393,
568,471,381,381,
569,433,379,375,
570,397,400,395,
571,387,405,417,
572,411,416,425,
573,412,453,432,
574,416,463,434,
575,428,468,451,
576,410,457,436,
577,378,429,413,
578,358,410,402,
579,361,390,392,
580,363,377,390,
581,389,385,390,
582,418,384,380,
583,385,380,379,
584,356,378,365,
585,351,365,368,
586,374,363,366,
587,402,360,344,
588,398,367,363,
589,403,354,352,
590,397,349,346,
591,395,365,344,
592,360,344,339,
593,359,331,324,
594,381,337,333,
595,368,346,346,
596,353,354,343,
597,297,345,343,
598,294,337,337,
599,310,342,338,
600,328,339,341,
