Index,V1,V2,Noise,class
145,399,381,366,0.0
146,426,380,366,
147,392,364,351,
148,356,362,365,
149,373,373,365,
150,401,376,371,
151,401,378,368,
152,375,353,369,
153,397,355,369,
154,381,370,370,
155,373,362,365,
156,385,366,368,
157,376,365,358,
158,325,361,353,
159,345,359,354,
160,367,359,350,
161,316,359,349,
162,213,363,349,
163,0,361,348,
164,15,358,351,
165,433,360,357,
166,558,359,360,
167,612,359,358,
168,601,358,354,
169,374,358,354,
170,235,359,356,
171,274,360,351,
172,235,359,358,
173,87,417,419,
174,121,450,448,
175,203,464,446,
176,346,436,362,
177,430,425,407,
178,422,442,435,
179,528,408,402,
180,602,383,383,
181,527,359,367,
182,416,392,379,
183,353,419,378,
184,337,402,356,
185,327,443,423,
186,358,439,386,
187,392,379,382,
188,388,375,368,
189,426,375,382,
190,444,390,381,
191,448,379,381,
192,457,382,382,
193,435,385,361,
194,405,359,373,
195,366,398,402,
196,365,415,382,
197,391,374,389,
198,427,409,412,
199,419,440,385,
200,375,409,374,
201,418,410,381,
202,450,373,364,
203,429,351,364,
204,401,290,297,
205,368,339,380,
206,407,406,379,
207,449,393,392,
208,434,383,328,
209,413,342,371,
210,364,343,298,
211,376,375,364,
212,452,422,375,
213,418,385,374,
214,440,352,316,
215,454,322,366,
216,346,334,337,
217,312,398,377,
218,349,404,378,
219,421,367,353,
220,399,349,353,
221,379,366,351,
222,363,376,366,
223,283,356,337,
224,277,363,366,
225,322,370,341,
226,373,354,345,
227,385,352,334,
228,353,348,346,
229,287,351,342,
230,293,330,333,
231,347,351,350,
232,375,374,346,
233,351,367,338,
234,343,361,349,
235,311,361,355,
236,316,346,329,
237,328,354,363,
238,343,366,328,
239,369,344,342,
