Index,V1,V2,Noise,class
375,379,345,320,0.0
376,370,353,339,
377,391,361,359,
378,381,366,351,
379,366,366,353,
380,386,350,315,
381,392,356,344,
382,391,366,353,
383,377,370,367,
384,368,377,364,
385,387,366,361,
386,386,360,346,
387,385,363,345,
388,397,361,347,
389,362,357,351,
390,349,358,357,
391,483,359,355,
392,475,358,353,
393,348,356,357,
394,270,357,353,
395,151,359,353,
396,216,359,352,
397,472,359,358,
398,605,359,355,
399,552,359,353,
400,430,359,353,
401,283,359,350,
402,156,360,349,
403,40,359,349,
404,125,388,386,
405,142,452,441,
406,237,506,502,
407,377,489,445,
408,460,447,429,
409,504,410,395,
410,491,358,356,
411,428,329,335,
412,375,328,337,
413,391,357,353,
414,432,369,368,
415,419,391,373,
416,407,394,363,
417,421,350,337,
418,426,321,332,
419,399,318,307,
420,429,319,310,
421,449,334,321,
422,394,329,307,
423,398,317,312,
424,424,313,322,
425,402,312,318,
426,370,362,376,
427,374,417,405,
428,410,430,403,
429,404,392,395,
430,344,396,402,
431,348,415,384,
432,398,399,393,
433,425,375,362,
434,436,357,358,
435,429,389,365,
436,399,397,372,
437,359,377,363,
438,333,362,347,
439,362,351,337,
440,391,347,337,
441,376,350,351,
442,367,340,336,
443,351,325,336,
444,303,338,335,
445,305,331,323,
446,332,328,343,
447,367,340,348,
448,350,342,346,
449,288,356,355,
450,290,373,353,
