Index,V1,V2,Noise,class
221,400,364,357,0.0
222,412,381,376,
223,390,374,340,
224,308,345,315,
225,531,286,206,
226,573,156,93,
227,384,0,48,
228,374,0,17,
229,269,330,409,
230,0,602,572,
231,292,617,509,
232,369,487,472,
233,439,442,417,
234,616,373,354,
235,589,267,237,
236,462,186,193,
237,343,176,169,
238,120,185,218,
239,0,256,272,
240,0,304,313,
241,79,376,377,
242,290,398,351,
243,409,329,348,
244,435,323,344,
245,457,338,330,
246,453,309,307,
247,409,304,308,
248,304,360,355,
249,198,388,370,
250,160,387,356,
251,251,368,336,
252,341,355,356,
253,391,330,284,
254,407,325,347,
255,334,370,336,
256,312,347,356,
257,321,330,317,
258,319,333,314,
259,361,352,355,
260,364,393,365,
