Index,V1,V2,Noise,class
689,359,361,362,0.0
690,337,368,359,
691,328,377,366,
692,336,372,365,
693,341,358,361,
694,364,353,367,
695,359,356,356,
696,331,369,365,
697,335,367,359,
698,314,366,371,
699,366,362,362,
700,424,366,369,
701,384,376,364,
702,354,374,370,
703,327,372,361,
704,363,361,368,
705,372,364,361,
706,343,373,365,
707,374,369,352,
708,349,372,368,
709,337,366,363,
710,376,364,357,
711,389,378,365,
712,360,373,369,
713,337,371,365,
714,366,375,369,
715,395,371,353,
716,355,381,381,
717,343,384,371,
718,371,367,365,
719,335,365,358,
720,291,362,356,
721,408,360,356,
722,471,360,352,
723,331,357,352,
724,299,359,351,
725,357,362,355,
726,309,360,353,
727,243,359,349,
728,308,359,347,
729,356,359,353,
730,380,358,352,
731,374,358,353,
732,286,359,352,
733,236,360,353,
734,268,360,359,
735,268,387,393,
736,229,448,455,
737,254,504,488,
738,311,542,521,
739,377,534,492,
740,421,492,466,
741,431,449,419,
742,457,440,429,
743,441,441,417,
744,377,424,412,
745,347,431,429,
746,353,426,434,
747,390,432,436,
748,404,428,436,
749,399,426,430,
750,380,422,402,
751,361,416,410,
752,352,411,413,
753,372,398,396,
754,375,382,335,
755,344,366,358,
756,352,326,311,
757,371,327,348,
758,382,373,352,
759,390,351,360,
760,354,353,365,
761,353,372,357,
762,370,383,373,
763,353,389,368,
764,321,377,366,
765,320,355,357,
766,318,348,342,
767,341,341,350,
768,377,348,356,
769,363,357,346,
770,345,339,335,
771,347,342,327,
772,344,336,327,
773,387,337,344,
774,387,349,335,
