Index,V1,V2,Noise,class
440,359,360,353,0.0
441,357,360,353,
442,356,360,353,
443,358,360,354,
444,358,359,354,
445,357,358,353,
446,356,358,353,
447,357,358,353,
448,357,359,354,
449,357,360,355,
450,424,395,410,
451,450,433,431,
452,508,460,451,
453,599,436,424,
454,568,409,407,
455,500,389,360,
456,485,306,316,
457,511,310,326,
458,488,354,341,
459,485,371,358,
460,482,394,382,
461,454,402,393,
462,502,400,387,
463,485,388,390,
464,453,365,373,
465,437,391,398,
466,453,414,399,
467,444,404,392,
468,398,409,399,
469,420,405,392,
470,432,389,382,
471,400,372,363,
472,388,365,378,
473,433,380,373,
474,414,383,376,
475,386,378,375,
476,400,382,374,
477,382,363,355,
478,372,356,343,
479,402,359,340,
480,404,344,341,
481,367,345,352,
482,361,354,353,
483,361,355,359,
484,339,365,357,
485,339,377,368,
486,338,379,369,
487,337,382,374,
488,330,384,365,
489,303,379,388,
490,312,385,391,
491,350,381,379,
492,373,378,379,
493,372,380,364,
494,326,366,370,
495,317,368,375,
496,318,359,348,
497,314,361,361,
498,322,364,339,
499,314,344,352,
500,330,338,338,
501,332,322,320,
502,322,304,323,
503,321,332,322,
504,311,356,333,
505,338,347,336,
506,349,345,342,
507,335,347,331,
508,334,359,355,
509,300,377,353,
510,296,373,356,
511,301,376,369,
