Index,V1,V2,Noise,class
176,254,328,349,0.0
177,358,311,289,
178,391,309,348,
179,352,350,352,
180,340,366,351,
181,433,358,357,
182,586,358,352,
183,523,357,358,
184,401,359,354,
185,335,360,351,
186,149,358,350,
187,126,359,354,
188,303,359,356,
189,519,359,355,
190,566,359,353,
191,410,359,351,
192,263,359,351,
193,175,359,350,
194,42,360,371,
195,52,440,470,
196,113,568,552,
197,239,613,571,
198,378,587,550,
199,421,475,428,
200,440,420,428,
201,453,444,412,
202,413,403,391,
203,387,396,402,
204,390,411,415,
205,386,469,462,
206,401,481,464,
207,423,461,461,
208,411,447,415,
209,345,403,393,
210,312,385,368,
211,380,375,355,
212,387,390,395,
213,361,404,392,
214,378,386,376,
215,342,372,360,
216,294,375,374,
217,387,391,382,
218,415,401,399,
219,367,415,410,
220,365,427,409,
