Index,V1,V2,Noise,class
1050,351,338,342,0.0
1051,322,348,356,
1052,339,333,339,
1053,365,346,355,
1054,360,368,357,
1055,350,357,355,
1056,320,353,341,
1057,328,359,352,
1058,359,358,338,
1059,384,342,356,
1060,344,354,354,
1061,279,363,354,
1062,404,359,354,
1063,433,358,351,
1064,447,357,353,
1065,395,358,351,
1066,268,359,355,
1067,302,358,354,
1068,322,359,354,
1069,390,359,356,
1070,476,359,355,
1071,470,359,353,
1072,333,358,353,
1073,229,359,352,
1074,193,360,352,
1075,184,371,382,
1076,222,422,425,
1077,268,503,488,
1078,311,550,526,
1079,368,539,522,
1080,439,514,498,
1081,448,480,462,
1082,422,440,446,
1083,418,414,429,
1084,425,432,443,
1085,457,461,451,
1086,435,457,444,
1087,396,465,454,
1088,402,468,456,
1089,399,453,454,
1090,410,450,450,
1091,413,443,432,
1092,416,402,433,
1093,426,415,433,
1094,422,436,422,
1095,428,404,397,
1096,399,383,378,
1097,357,372,363,
1098,376,372,371,
1099,386,383,379,
1100,431,395,389,
1101,428,406,392,
1102,386,404,383,
1103,408,397,387,
1104,392,396,383,
1105,396,388,378,
1106,402,373,363,
1107,369,365,364,
1108,350,359,345,
1109,366,366,363,
1110,364,369,357,
1111,349,350,342,
1112,355,351,346,
1113,354,348,336,
1114,369,340,340,
1115,370,339,327,
1116,374,348,335,
1117,376,355,338,
1118,335,337,318,
1119,322,327,313,
1120,329,326,320,
1121,327,328,309,
1122,363,343,334,
1123,377,342,329,
1124,331,329,334,
1125,309,330,325,
1126,304,324,321,
1127,311,323,334,
1128,338,337,341,
1129,342,341,333,
1130,308,337,335,
1131,302,334,323,
1132,330,322,314,
1133,307,338,325,
1134,324,337,315,
1135,357,334,330,
1136,308,344,326,
1137,293,332,329,
1138,311,341,325,
1139,334,341,347,
1140,336,341,332,
1141,320,338,330,
1142,319,325,320,
1143,288,329,327,
1144,311,339,335,
1145,336,341,335,
1146,314,337,326,
1147,313,322,322,
1148,303,330,331,
1149,270,343,333,
