Index,V1,V2,Noise,class
626,330,381,364,1.0
627,324,373,360,
628,308,372,361,
629,331,385,368,
630,345,391,382,
631,312,385,383,
632,317,368,372,
633,348,370,362,
634,346,370,374,
635,331,361,367,
636,324,361,358,
637,259,354,344,
638,432,328,301,
639,490,217,137,
640,361,2,69,
641,319,0,38,
642,227,504,419,
643,106,691,489,
644,261,578,463,
645,405,454,443,
646,592,421,410,
647,707,375,354,
648,587,308,283,
649,411,259,264,
650,289,258,265,
651,121,282,293,
652,42,329,338,
653,73,396,372,
654,168,407,381,
655,283,407,402,
656,389,395,359,
657,445,355,377,
658,425,362,364,
659,379,365,371,
660,382,370,373,
661,387,384,370,
662,320,395,397,
663,287,411,391,
664,304,402,386,
665,350,381,387,
666,367,373,371,
667,370,367,390,
668,407,367,391,
669,383,371,397,
670,339,381,382,
671,330,370,371,
672,320,364,366,
673,310,363,363,
674,384,372,380,
