Index,V1,V2,Noise,class
421,337,382,321,1.0
422,335,353,330,
423,493,263,261,
424,592,194,217,
425,502,142,101,
426,320,98,201,
427,278,512,486,
428,256,631,484,
429,201,512,481,
430,460,474,458,
431,603,429,405,
432,657,348,322,
433,603,255,242,
434,462,198,203,
435,346,207,233,
436,194,301,325,
437,110,395,384,
438,101,453,420,
439,207,481,441,
440,389,453,408,
441,498,394,382,
442,553,336,335,
443,561,315,338,
444,532,331,334,
445,489,345,365,
446,441,371,394,
447,380,411,409,
448,322,422,423,
449,282,420,417,
450,282,386,395,
451,373,387,403,
452,422,412,392,
453,486,398,394,
454,481,372,362,
455,424,362,369,
