Index,V1,V2,Noise,class
631,343,380,358,1.0
632,370,366,354,
633,348,347,352,
634,327,349,341,
635,339,347,341,
636,337,360,328,
637,358,368,340,
638,378,364,340,
639,361,374,365,
640,310,369,362,
641,323,361,343,
642,311,357,325,
643,316,367,364,
644,340,362,304,
645,376,377,359,
646,374,396,354,
647,306,354,341,
648,314,322,335,
649,349,341,346,
650,296,359,348,
651,367,359,353,
652,355,359,346,
653,473,360,355,
654,458,362,351,
655,314,360,354,
656,359,358,353,
657,307,359,357,
658,520,359,360,
659,629,359,355,
660,460,359,353,
661,177,359,350,
662,117,359,349,
663,88,359,350,
664,111,359,352,
665,143,379,374,
666,243,396,377,
667,351,400,392,
668,427,394,382,
669,469,365,352,
670,452,311,331,
671,405,303,309,
672,355,351,343,
673,325,351,333,
674,318,354,348,
