Index,V1,V2,Noise,class
525,357,359,355,0.0
526,359,360,349,
527,421,304,274,
528,537,254,289,
529,655,244,283,
530,711,220,318,
531,712,275,322,
532,649,285,286,
533,471,222,201,
534,262,323,328,
535,251,395,335,
536,412,358,355,
537,423,345,317,
538,348,319,310,
539,405,319,366,
540,504,346,382,
541,510,367,360,
542,478,377,372,
543,448,353,330,
544,378,329,314,
545,386,365,407,
546,420,403,382,
547,440,380,375,
548,483,343,353,
549,426,328,312,
550,336,336,338,
551,340,343,349,
552,385,349,343,
553,454,353,349,
554,396,332,303,
555,323,335,338,
556,309,343,309,
557,285,348,345,
558,312,376,360,
559,300,374,347,
560,298,363,342,
561,298,342,327,
562,280,316,307,
563,299,365,374,
564,300,377,352,
565,290,353,342,
