Index,V1,V2,Noise,class
425,306,321,336,1.0
426,313,340,339,
427,312,344,336,
428,328,347,341,
429,361,343,339,
430,333,345,357,
431,320,344,344,
432,317,345,351,
433,366,368,341,
434,347,347,325,
435,326,302,243,
436,345,333,293,
437,297,337,313,
438,328,325,333,
439,289,362,350,
440,494,359,349,
441,610,358,357,
442,482,358,350,
443,284,359,347,
444,0,358,350,
445,267,358,356,
446,442,359,357,
447,614,359,358,
448,658,358,355,
449,533,358,352,
450,331,359,352,
451,101,359,351,
452,88,364,381,
453,147,449,476,
454,212,583,569,
455,356,649,610,
456,470,667,644,
457,461,651,630,
458,456,593,566,
459,421,546,537,
460,351,495,473,
461,338,457,467,
462,314,467,484,
463,366,487,452,
464,430,545,532,
465,407,582,536,
466,383,516,489,
467,382,490,497,
468,396,453,363,
469,430,421,422,
470,478,460,424,
471,445,434,412,
472,347,426,425,
473,356,425,399,
474,373,412,413,
475,451,398,399,
476,471,406,405,
477,421,431,414,
478,402,420,387,
479,376,431,424,
480,389,425,403,
481,428,415,421,
482,429,415,386,
483,413,393,401,
484,393,386,376,
485,368,367,376,
486,363,369,371,
487,391,367,349,
488,412,373,364,
489,385,377,372,
490,359,360,364,
491,366,359,356,
492,359,363,354,
493,349,349,333,
494,389,364,353,
495,390,374,351,
496,366,358,354,
497,368,358,338,
498,353,327,349,
499,354,333,340,
500,360,341,346,
