Index,V1,V2,Noise,class
599,359,358,353,0.0
600,358,359,353,
601,356,359,354,
602,357,359,354,
603,357,359,354,
604,357,359,355,
605,356,359,355,
606,356,360,355,
607,358,360,352,
608,355,337,295,
609,353,319,298,
610,528,310,311,
611,669,287,315,
612,695,257,301,
613,710,268,341,
614,640,275,272,
615,483,292,336,
616,378,361,351,
617,342,374,326,
618,309,388,360,
619,360,347,329,
620,456,324,338,
621,497,415,393,
622,481,406,365,
623,461,348,358,
624,402,327,313,
625,362,352,332,
626,422,309,325,
627,470,369,378,
628,458,432,373,
629,388,369,361,
630,327,362,326,
631,364,361,341,
632,410,369,379,
633,427,354,332,
634,428,315,325,
635,389,343,347,
636,312,355,305,
637,287,343,336,
638,323,350,312,
639,329,339,345,
640,321,352,313,
