Index,V1,V2,Noise,class
520,311,332,325,0.0
521,348,329,323,
522,357,331,333,
523,343,342,341,
524,385,337,336,
525,407,325,331,
526,370,326,325,
527,354,330,333,
528,351,334,330,
529,322,351,347,
530,402,339,321,
531,420,337,311,
532,368,359,338,
533,331,368,352,
534,317,368,350,
535,356,353,353,
536,353,350,351,
537,322,354,352,
538,386,358,354,
539,461,358,354,
540,472,357,356,
541,390,359,352,
542,192,361,354,
543,272,359,352,
544,294,360,352,
545,263,359,354,
546,410,359,355,
547,502,358,354,
548,437,358,353,
549,355,359,353,
550,324,359,352,
551,187,359,355,
552,114,386,396,
553,99,459,476,
554,159,546,555,
555,328,598,579,
556,469,586,552,
557,489,536,512,
558,433,463,440,
559,415,406,415,
560,381,399,404,
561,349,417,422,
562,370,459,460,
563,397,488,476,
564,406,498,491,
565,378,491,480,
566,370,467,460,
567,335,433,418,
568,325,401,408,
569,384,415,419,
570,382,422,405,
571,393,401,395,
572,419,394,387,
573,394,389,376,
574,347,391,382,
575,349,397,393,
576,375,406,395,
577,372,413,403,
578,390,416,397,
579,387,415,405,
580,357,400,389,
581,318,385,376,
582,348,375,367,
583,397,366,357,
584,364,347,326,
585,342,337,343,
586,359,352,339,
587,392,353,347,
588,375,349,345,
589,350,338,328,
