Index,V1,V2,Noise,class
810,321,369,363,1.0
811,353,356,358,
812,360,365,368,
813,356,369,345,
814,341,369,376,
815,345,381,357,
816,377,366,354,
817,377,353,340,
818,349,366,359,
819,353,381,372,
820,362,371,368,
821,401,355,337,
822,400,327,327,
823,343,338,384,
824,342,388,377,
825,265,394,381,
826,313,370,362,
827,328,359,359,
828,432,359,357,
829,479,359,353,
830,337,359,349,
831,392,359,355,
832,449,358,351,
833,376,359,353,
834,335,359,354,
835,453,359,358,
836,565,359,354,
837,475,359,352,
838,279,358,351,
839,221,358,350,
840,168,359,349,
841,99,355,338,
842,129,402,418,
843,272,495,486,
844,357,525,500,
845,403,515,496,
846,414,492,465,
847,360,445,436,
848,315,421,407,
849,313,401,394,
850,321,416,410,
851,295,434,416,
852,279,423,422,
853,276,437,429,
854,287,447,431,
855,337,448,435,
856,335,440,422,
857,313,426,415,
858,317,418,406,
859,322,399,403,
860,320,409,410,
861,312,415,389,
862,315,397,395,
863,326,397,388,
864,324,385,380,
865,317,365,376,
866,317,379,381,
867,339,403,390,
868,374,395,383,
869,351,393,395,
870,359,394,381,
871,354,384,375,
872,326,371,364,
873,348,360,358,
874,363,363,371,
875,379,370,367,
876,361,368,360,
877,359,365,359,
878,363,365,350,
879,357,365,352,
880,349,359,356,
881,364,355,348,
882,401,363,359,
883,390,361,353,
884,385,352,352,
885,372,348,342,
886,364,337,332,
887,382,343,345,
888,404,349,340,
889,394,344,348,
890,379,350,346,
891,376,341,344,
892,367,344,346,
893,362,346,335,
894,369,353,350,
895,396,358,341,
896,381,342,330,
897,362,351,342,
898,362,341,323,
899,353,336,332,
