Index,V1,V2,Noise,class
351,383,331,349,0.0
352,360,335,349,
353,346,341,339,
354,367,353,345,
355,369,346,356,
356,324,345,345,
357,335,348,348,
358,372,343,331,
359,329,341,352,
360,313,349,352,
361,318,349,335,
362,329,344,339,
363,353,345,324,
364,326,315,331,
365,321,329,352,
366,342,355,352,
367,336,351,337,
368,294,335,340,
369,348,340,345,
370,447,361,351,
371,469,359,344,
372,375,358,358,
373,321,359,350,
374,325,359,353,
375,238,358,355,
376,316,359,355,
377,527,359,358,
378,577,359,356,
379,475,359,353,
380,361,359,351,
381,239,359,352,
382,182,359,350,
383,139,360,359,
384,147,415,421,
385,242,496,479,
386,296,534,512,
387,364,526,503,
388,412,499,486,
389,394,468,443,
390,368,410,376,
391,309,407,413,
392,262,451,430,
393,249,448,428,
394,228,453,453,
395,306,474,456,
396,326,459,433,
397,291,458,448,
398,303,459,447,
399,312,440,440,
400,346,426,429,
401,349,417,401,
402,320,418,396,
403,330,420,390,
404,349,403,376,
405,340,385,386,
406,329,367,356,
407,378,358,353,
408,374,361,350,
409,365,394,399,
410,388,412,376,
411,378,372,374,
412,388,355,364,
413,375,334,337,
414,365,336,353,
415,435,352,341,
416,423,341,337,
417,359,341,336,
418,363,334,309,
419,362,331,322,
420,369,330,319,
421,354,343,333,
422,352,343,333,
423,339,341,332,
424,348,341,329,
425,351,351,355,
426,364,368,342,
427,400,337,336,
428,366,336,321,
429,336,330,314,
430,341,353,343,
