Index,V1,V2,Noise,class
766,382,324,351,1.0
767,387,353,361,
768,376,377,361,
769,359,361,345,
770,340,339,358,
771,324,342,355,
772,350,357,352,
773,376,354,355,
774,348,346,342,
775,343,356,358,
776,343,356,351,
777,336,350,352,
778,342,357,360,
779,349,353,354,
780,356,366,363,
781,315,372,357,
782,325,359,349,
783,352,359,349,
784,367,364,352,
785,385,364,362,
786,364,373,365,
787,341,379,365,
788,350,366,354,
789,374,368,354,
790,360,366,351,
791,328,362,347,
792,317,380,371,
793,325,379,369,
794,277,365,359,
795,199,360,359,
796,352,359,355,
797,391,358,354,
798,292,360,356,
799,301,360,356,
800,382,359,352,
801,317,360,352,
802,396,359,355,
803,529,359,355,
804,504,359,355,
805,435,359,353,
806,298,359,352,
807,223,360,351,
808,223,360,355,
809,231,403,421,
810,246,480,475,
811,258,534,504,
812,324,570,548,
813,386,563,529,
814,434,513,480,
815,467,464,454,
816,453,435,425,
817,407,407,395,
818,364,413,413,
819,373,426,410,
820,390,421,414,
821,390,415,417,
822,396,432,426,
823,384,436,432,
824,373,425,432,
825,374,462,457,
826,426,472,450,
827,417,449,439,
828,388,434,436,
829,398,422,411,
830,369,401,401,
831,351,408,403,
832,394,403,404,
833,416,402,413,
834,410,415,403,
835,413,397,407,
836,395,410,405,
837,374,435,427,
838,396,430,416,
839,395,418,414,
840,368,407,396,
841,398,395,394,
842,400,399,391,
843,384,396,382,
844,376,388,387,
845,362,389,381,
846,373,387,377,
847,405,386,378,
848,393,381,371,
849,371,368,359,
850,362,362,351,
851,359,345,353,
852,369,345,352,
853,388,352,342,
854,388,334,331,
855,382,335,336,
856,357,337,324,
857,355,327,323,
858,372,347,342,
859,370,359,345,
