Index,V1,V2,Noise,class
300,353,367,344,0.0
301,374,365,360,
302,361,364,360,
303,344,360,358,
304,362,356,361,
305,353,350,347,
306,341,364,355,
307,358,375,355,
308,343,360,341,
309,325,359,357,
310,329,353,345,
311,353,353,356,
312,328,362,353,
313,209,358,357,
314,343,358,353,
315,336,358,353,
316,262,359,351,
317,263,360,355,
318,342,359,353,
319,351,359,353,
320,345,359,355,
321,455,359,355,
322,401,359,354,
323,315,359,353,
324,265,359,351,
325,228,359,351,
326,166,359,356,
327,153,408,430,
328,166,485,479,
329,194,549,523,
330,346,550,508,
331,393,514,501,
332,399,490,464,
333,439,449,446,
334,417,424,419,
335,421,415,424,
336,405,434,436,
337,363,454,424,
338,373,467,454,
339,375,473,451,
340,365,459,457,
341,378,450,437,
342,403,430,446,
343,404,443,454,
344,418,463,457,
345,423,449,444,
346,433,427,416,
347,431,420,416,
348,360,394,393,
349,364,377,391,
350,366,414,416,
351,368,429,419,
352,395,426,428,
353,364,441,438,
354,366,431,407,
355,390,435,427,
356,407,443,420,
357,400,407,406,
358,379,400,402,
359,395,407,393,
360,410,405,388,
361,398,401,378,
362,400,405,399,
363,370,394,386,
364,335,389,383,
365,409,390,371,
366,402,392,379,
367,365,386,366,
368,402,362,355,
369,382,364,348,
370,353,356,350,
371,335,358,355,
372,353,359,357,
373,429,341,343,
374,397,352,354,
375,327,353,341,
376,328,352,359,
377,310,348,336,
378,309,333,357,
379,354,359,357,
380,373,354,339,
381,352,342,335,
382,354,352,338,
383,338,349,337,
384,337,345,337,
385,335,334,331,
386,359,329,339,
387,396,339,339,
388,393,348,343,
389,369,345,345,
390,341,344,332,
391,352,336,318,
392,349,325,301,
393,376,343,325,
394,378,353,328,
395,344,325,320,
396,313,330,328,
397,320,340,320,
398,350,330,308,
399,335,339,335,
400,351,344,329,
