Index,V1,V2,Noise,class
177,374,361,353,0.0
178,348,350,352,
179,355,337,356,
180,359,354,350,
181,359,359,351,
182,361,352,345,
183,337,359,350,
184,360,344,343,
185,371,332,335,
186,380,336,340,
187,367,350,344,
188,340,361,346,
189,359,346,341,
190,365,337,333,
191,366,336,329,
192,369,325,317,
193,345,345,342,
194,374,358,344,
195,374,352,345,
196,329,357,349,
197,284,359,354,
198,368,360,353,
199,362,359,347,
200,285,357,353,
201,328,357,351,
202,359,360,355,
203,316,360,352,
204,386,359,355,
205,480,359,355,
206,527,359,354,
207,492,359,353,
208,298,359,353,
209,311,360,352,
210,296,359,350,
211,210,420,427,
212,247,508,503,
213,276,563,540,
214,324,599,559,
215,418,570,512,
216,503,516,504,
217,503,474,451,
218,461,418,411,
219,400,404,404,
220,361,414,409,
221,352,431,418,
222,368,450,452,
223,438,457,451,
224,432,448,441,
225,396,429,422,
226,390,417,405,
227,381,430,413,
228,414,418,398,
229,403,388,383,
230,383,368,363,
231,405,356,357,
232,388,354,339,
233,381,324,331,
234,398,345,342,
235,395,375,373,
236,375,385,394,
237,413,402,393,
238,402,401,379,
239,339,401,387,
240,376,381,364,
241,398,366,363,
242,405,376,356,
243,423,373,367,
244,394,365,364,
245,346,360,357,
246,358,349,342,
247,359,349,339,
248,359,361,351,
249,366,351,336,
250,346,351,341,
251,339,350,347,
252,376,333,328,
253,385,321,317,
254,356,319,324,
255,361,310,303,
256,371,333,328,
257,370,343,315,
258,349,339,334,
259,354,343,327,
260,372,338,334,
261,361,328,308,
262,368,333,321,
263,365,348,309,
264,372,335,328,
265,359,340,326,
266,353,336,318,
267,366,326,305,
268,347,331,329,
269,388,341,329,
