Index,V1,V2,Noise,class
330,361,339,326,0.0
331,331,363,392,
332,335,372,364,
333,322,378,371,
334,343,383,345,
335,371,365,316,
336,326,331,331,
337,314,384,349,
338,362,395,391,
339,533,244,204,
340,463,80,98,
341,481,0,65,
342,511,504,428,
343,217,707,526,
344,152,606,497,
345,381,477,473,
346,616,463,458,
347,711,422,386,
348,619,315,288,
349,435,224,228,
350,258,203,249,
351,102,286,308,
352,66,356,329,
353,104,392,411,
354,272,432,406,
355,435,418,391,
356,507,359,345,
357,498,319,295,
358,460,292,367,
359,426,351,374,
360,380,391,365,
361,310,385,379,
362,266,401,376,
363,275,392,376,
364,272,384,368,
365,297,365,377,
366,363,373,384,
367,391,388,370,
368,378,376,379,
369,361,382,378,
370,327,377,365,
371,295,356,336,
372,288,350,354,
373,275,363,367,
374,271,348,366,
375,324,369,379,
