Index,V1,V2,Noise,class
270,401,355,342,0.0
271,411,349,330,
272,401,346,344,
273,384,356,342,
274,375,357,341,
275,393,358,345,
276,405,349,343,
277,384,350,333,
278,387,367,359,
279,392,366,350,
280,359,354,346,
281,370,354,353,
282,400,360,343,
283,395,362,357,
284,391,364,350,
285,363,362,364,
286,365,364,358,
287,371,371,360,
288,373,368,358,
289,365,361,366,
290,354,361,358,
291,349,364,363,
292,322,361,339,
293,303,344,316,
294,409,328,313,
295,501,237,142,
296,433,77,67,
297,266,0,38,
298,98,270,369,
299,117,546,496,
300,134,566,486,
301,363,445,436,
302,493,420,392,
303,592,339,322,
304,665,251,239,
305,572,176,189,
306,478,170,193,
307,353,221,235,
308,141,276,262,
309,64,331,335,
310,58,371,356,
311,200,399,358,
312,363,385,381,
313,469,364,359,
314,504,350,334,
315,443,324,330,
316,325,304,312,
317,304,326,337,
318,331,366,352,
319,331,371,363,
320,346,369,356,
321,338,373,361,
322,343,357,361,
323,371,347,363,
324,368,369,365,
325,381,356,362,
