Index,V1,V2,Noise,class
1100,356,358,353,0.0
1101,356,360,355,
1102,356,361,355,
1103,358,359,354,
1104,358,359,353,
1105,357,359,354,
1106,358,359,355,
1107,357,360,354,
1108,356,360,355,
1109,355,359,355,
1110,356,360,355,
1111,357,359,355,
1112,362,340,343,
1113,446,314,337,
1114,598,280,307,
1115,692,255,308,
1116,712,238,281,
1117,713,257,316,
1118,712,302,343,
1119,597,324,337,
1120,433,332,333,
1121,474,346,363,
1122,494,366,364,
1123,478,361,350,
1124,500,331,349,
1125,534,348,371,
1126,608,372,381,
1127,663,348,378,
1128,671,324,362,
1129,609,331,368,
1130,541,360,370,
1131,549,358,357,
1132,552,361,364,
1133,507,382,375,
1134,539,371,356,
1135,545,342,363,
1136,481,346,356,
1137,453,348,337,
1138,443,334,335,
1139,436,338,336,
1140,425,331,331,
1141,421,336,339,
1142,391,329,315,
1143,345,326,329,
1144,308,333,324,
1145,321,341,335,
1146,314,344,338,
1147,335,331,327,
1148,330,349,336,
1149,313,351,330,
1150,341,335,326,
1151,358,325,323,
1152,333,316,317,
1153,298,328,316,
1154,342,349,325,
1155,345,333,319,
1156,314,340,339,
1157,326,351,330,
1158,316,339,322,
1159,290,346,334,
