Index,V1,V2,Noise,class
276,387,343,325,0.0
277,367,350,337,
278,344,366,344,
279,356,364,354,
280,358,349,355,
281,373,354,345,
282,379,360,345,
283,361,361,362,
284,366,364,358,
285,351,359,358,
286,330,367,363,
287,332,367,355,
288,277,358,357,
289,433,359,356,
290,458,356,353,
291,279,358,353,
292,190,361,351,
293,216,359,350,
294,283,359,353,
295,295,359,354,
296,413,359,357,
297,456,359,356,
298,427,360,355,
299,388,359,352,
300,264,359,351,
301,147,359,351,
302,131,360,365,
303,141,406,389,
304,182,471,469,
305,227,495,482,
306,357,491,479,
307,444,466,449,
308,441,405,373,
309,443,367,398,
310,396,386,386,
311,335,411,411,
312,353,433,422,
313,312,432,428,
314,287,410,410,
315,349,399,388,
316,321,414,420,
317,279,453,430,
318,337,440,418,
319,369,397,400,
320,380,402,359,
321,355,404,383,
322,359,392,377,
323,376,379,370,
324,313,372,365,
325,343,365,364,
326,391,375,365,
327,338,395,392,
328,298,373,394,
329,335,387,391,
330,355,417,387,
331,361,380,377,
332,413,376,367,
333,406,375,358,
334,348,359,370,
335,357,382,383,
336,369,375,381,
337,361,371,359,
338,383,377,365,
339,371,380,363,
340,338,380,360,
341,349,381,375,
342,351,383,370,
343,370,363,351,
344,376,381,359,
345,347,390,362,
346,349,370,366,
347,369,376,364,
348,394,370,355,
349,393,360,347,
