Index,V1,V2,Noise,class
225,327,365,329,0.0
226,350,345,333,
227,380,329,335,
228,348,336,331,
229,323,323,308,
230,307,290,325,
231,454,221,192,
232,540,202,190,
233,386,168,92,
234,503,0,43,
235,474,283,413,
236,116,488,438,
237,220,503,428,
238,404,415,387,
239,465,392,374,
240,580,348,320,
241,680,259,243,
242,567,180,169,
243,428,190,203,
244,301,246,247,
245,135,313,319,
246,97,376,350,
247,134,379,379,
248,283,370,344,
249,413,316,315,
250,538,281,298,
251,559,297,279,
252,485,282,288,
253,436,301,303,
254,384,334,323,
255,383,366,351,
256,375,391,364,
257,380,363,402,
258,412,361,367,
259,422,381,363,
260,431,362,347,
