Index,V1,V2,Noise,class
561,345,343,334,0.0
562,316,367,366,
563,313,372,346,
564,318,374,373,
565,337,390,370,
566,361,365,363,
567,363,350,369,
568,358,368,349,
569,348,372,363,
570,348,370,365,
571,333,370,369,
572,306,368,360,
573,275,364,355,
574,411,358,355,
575,444,359,348,
576,255,359,353,
577,91,361,348,
578,314,361,353,
579,410,359,350,
580,359,359,356,
581,371,359,355,
582,428,359,358,
583,504,359,357,
584,473,359,353,
585,270,359,350,
586,118,359,350,
587,132,359,363,
588,165,397,425,
589,222,479,478,
590,292,540,520,
591,385,543,502,
592,422,504,484,
593,428,465,452,
594,424,430,433,
595,420,405,413,
596,407,405,420,
597,350,425,435,
598,325,446,445,
599,330,465,451,
600,309,464,444,
601,346,451,441,
602,400,434,417,
603,398,411,438,
604,421,414,413,
605,409,423,419,
606,351,416,419,
607,409,406,392,
608,425,396,396,
609,408,381,360,
610,414,368,394,
611,443,380,391,
612,445,395,389,
613,434,392,379,
614,428,409,389,
615,393,392,390,
616,432,379,387,
617,441,380,369,
618,450,377,379,
619,432,370,359,
620,411,338,334,
621,413,344,344,
622,404,337,338,
623,415,347,346,
624,420,357,346,
625,408,331,334,
