Index,V1,V2,Noise,class
256,379,336,295,0.0
257,383,327,336,
258,364,312,297,
259,347,316,311,
260,355,321,292,
261,345,271,260,
262,420,157,168,
263,414,277,301,
264,333,390,317,
265,314,373,342,
266,270,358,344,
267,536,357,355,
268,683,356,347,
269,682,358,357,
270,709,359,350,
271,500,359,350,
272,64,359,352,
273,182,360,354,
274,411,359,357,
275,626,359,357,
276,657,359,355,
277,497,359,353,
278,333,359,352,
279,230,359,351,
280,133,358,360,
281,114,396,420,
282,198,480,470,
283,361,507,477,
284,540,487,487,
285,597,455,430,
286,548,408,422,
287,488,362,393,
288,348,362,393,
289,274,404,402,
290,304,426,420,
291,309,447,447,
292,366,449,434,
293,338,441,436,
294,301,454,430,
295,324,444,423,
296,300,417,425,
297,288,410,401,
298,310,427,418,
299,297,424,413,
300,284,433,428,
301,328,438,422,
302,357,420,412,
303,386,394,402,
304,383,413,416,
305,345,453,443,
306,335,453,442,
307,350,426,424,
