Index,V1,V2,Noise,class
900,440,369,365,0.0
901,418,360,359,
902,382,348,362,
903,339,348,353,
904,373,368,359,
905,395,353,367,
906,370,345,356,
907,367,365,366,
908,375,368,362,
909,368,373,366,
910,357,366,362,
911,351,354,349,
912,363,350,359,
913,367,360,357,
914,348,360,358,
915,333,362,357,
916,328,368,365,
917,330,366,355,
918,321,362,366,
919,335,362,369,
920,323,379,372,
921,331,378,369,
922,326,361,359,
923,265,360,356,
924,453,360,355,
925,496,359,352,
926,361,359,354,
927,275,361,353,
928,263,361,352,
929,316,359,352,
930,287,359,354,
931,403,359,354,
932,471,359,354,
933,427,359,353,
934,350,359,352,
935,269,359,353,
936,239,359,352,
937,202,364,367,
938,169,418,430,
939,180,490,492,
940,260,533,519,
941,356,539,514,
942,414,532,507,
943,430,503,474,
944,418,459,458,
945,390,429,437,
946,354,424,432,
947,361,453,454,
948,363,463,453,
949,356,459,450,
950,338,461,456,
951,358,452,446,
952,392,440,434,
953,371,434,421,
954,370,424,426,
955,374,417,408,
956,367,411,411,
957,399,398,393,
958,406,378,371,
959,371,357,349,
960,378,355,363,
961,372,362,356,
962,354,381,379,
963,392,398,391,
964,389,400,388,
965,352,399,389,
966,386,380,371,
967,371,375,367,
968,336,358,353,
969,341,357,363,
970,353,372,365,
971,369,356,351,
972,383,356,353,
973,368,354,342,
974,333,340,343,
975,340,338,333,
976,355,343,341,
977,364,349,341,
978,374,344,336,
979,410,336,321,
980,388,320,320,
981,341,312,315,
982,369,290,304,
983,353,298,322,
984,347,332,322,
985,345,329,318,
986,331,314,338,
987,337,326,339,
988,334,332,325,
989,360,329,331,
990,344,333,331,
991,355,336,325,
992,368,340,329,
993,359,336,325,
994,353,338,341,
995,346,340,335,
996,360,339,324,
997,365,335,336,
998,376,338,331,
999,365,342,345,
