Index,V1,V2,Noise,class
400,394,373,355,0.0
401,365,333,343,
402,322,340,363,
403,337,383,377,
404,347,378,374,
405,361,365,359,
406,345,354,362,
407,356,354,335,
408,373,351,377,
409,340,367,377,
410,406,383,364,
411,409,380,367,
412,372,356,357,
413,357,345,346,
414,338,362,367,
415,382,385,375,
416,356,385,388,
417,384,374,371,
418,407,372,367,
419,361,352,355,
420,317,352,352,
421,361,359,357,
422,429,358,352,
423,293,356,350,
424,192,358,352,
425,192,360,350,
426,61,360,357,
427,439,359,354,
428,443,359,358,
429,509,359,357,
430,698,359,357,
431,602,359,356,
432,397,359,351,
433,206,360,350,
434,140,359,350,
435,145,351,319,
436,140,391,387,
437,223,420,385,
438,330,406,384,
439,406,387,375,
440,443,311,319,
441,531,293,337,
442,589,343,336,
443,521,344,329,
444,487,350,365,
445,454,369,364,
446,331,344,327,
447,256,371,379,
448,294,401,364,
449,305,360,351,
450,364,342,315,
451,450,350,367,
452,517,352,333,
453,512,359,366,
454,453,373,365,
455,399,364,348,
456,358,347,348,
457,354,331,342,
458,380,357,381,
459,381,385,391,
460,382,399,400,
461,401,395,384,
462,394,384,383,
463,408,377,379,
464,397,362,352,
465,396,347,354,
466,461,361,356,
467,499,372,343,
468,475,381,367,
469,443,381,341,
