Index,V1,V2,Noise,class
675,373,376,357,0.0
676,371,352,345,
677,362,343,345,
678,361,349,338,
679,364,340,343,
680,338,342,347,
681,317,331,338,
682,362,329,334,
683,378,341,327,
684,372,348,329,
685,377,348,331,
686,369,343,348,
687,369,350,342,
688,395,344,329,
689,390,335,340,
690,346,336,332,
691,342,349,344,
692,302,359,347,
693,270,355,349,
694,455,358,355,
695,484,360,352,
696,386,360,354,
697,282,360,349,
698,79,360,358,
699,364,359,354,
700,392,359,353,
701,422,359,356,
702,536,359,357,
703,513,359,356,
704,449,358,352,
705,311,358,350,
706,175,359,349,
707,114,359,352,
708,92,372,374,
709,168,406,405,
710,269,491,490,
711,349,544,497,
712,394,508,468,
713,407,466,456,
714,390,439,417,
715,374,410,401,
716,331,409,408,
717,325,421,418,
718,365,426,426,
719,364,430,428,
720,316,436,420,
721,294,429,425,
722,332,436,432,
723,335,426,411,
724,353,406,426,
725,355,423,413,
726,349,420,407,
727,363,399,391,
728,342,385,359,
729,344,386,380,
730,362,381,365,
731,377,361,347,
732,379,370,363,
733,410,392,381,
734,394,393,382,
735,374,387,383,
736,412,385,377,
737,397,376,365,
738,402,359,362,
739,408,351,359,
740,395,349,347,
741,429,368,355,
742,446,368,343,
743,378,357,354,
744,344,345,344,
745,381,342,356,
746,405,363,361,
747,401,347,352,
748,410,340,352,
749,408,356,347,
750,392,353,336,
