Index,V1,V2,Noise
0,0,169,255
1,145,226,241
2,701,542,408
3,702,634,532
4,702,672,607
5,701,688,648
6,220,228,405
7,701,568,461
8,0,212,351
9,699,56,190
10,701,501,367
11,0,150,255
12,700,469,344
13,228,640,508
14,0,209,333
15,701,561,426
16,0,249,353
17,545,69,196
18,701,505,370
19,0,156,278
20,701,268,254
21,552,570,431
22,0,180,285
23,701,548,398
24,0,410,418
25,245,128,251
26,700,529,373
27,0,197,304
28,699,50,166
29,701,498,355
30,0,149,249
31,700,476,345
32,210,642,509
33,0,211,334
34,701,562,428
35,0,241,350
36,558,66,193
37,701,504,369
38,0,155,276
39,701,286,261
40,536,576,437
41,0,182,288
42,700,549,400
43,0,403,416
44,266,125,249
45,701,528,371
46,0,197,303
47,699,50,165
48,701,498,355
49,0,149,247
50,700,485,349
51,194,645,512
52,0,211,336
53,701,562,428
54,0,237,348
55,578,65,191
56,700,503,369
57,0,154,274
58,701,299,267
59,517,580,442
60,0,185,291
61,700,550,402
62,0,395,413
63,288,123,246
64,701,527,369
65,0,196,302
66,699,49,165
67,700,498,355
68,0,150,247
69,701,494,354
70,182,649,517
71,0,213,339
72,701,563,429
73,0,229,345
74,588,63,190
75,701,503,368
76,0,152,272
77,700,309,271
78,495,583,445
79,0,186,293
80,701,551,404
81,0,385,408
82,309,119,243
83,700,525,367
84,0,195,301
85,700,49,164
86,700,498,354
87,0,150,245
88,701,503,357
89,167,652,520
90,0,214,341
91,701,563,431
92,0,218,340
93,597,58,185
94,700,501,366
95,0,151,269
96,701,320,276
97,474,587,450
98,0,187,295
99,701,553,405
100,0,373,403
101,324,115,238
102,701,524,364
103,0,195,299
104,700,49,163
105,700,498,353
106,0,149,244
107,701,510,360
108,154,654,523
109,0,215,343
110,701,564,432
111,0,210,337
112,611,55,183
113,700,500,365
114,0,150,267
115,701,330,279
116,446,591,453
117,0,189,296
118,701,554,407
119,0,361,398
120,347,110,234
121,701,522,361
122,0,195,297
123,700,49,163
124,700,498,353
125,0,150,243
126,700,522,365
127,137,659,527
128,0,217,346
129,701,564,434
130,0,210,338
131,628,55,183
132,701,500,365
133,0,149,265
134,700,345,286
135,430,596,459
136,0,191,300
137,701,555,409
138,0,346,391
139,367,105,228
140,701,520,358
141,0,193,295
142,700,48,162
143,700,497,352
144,0,150,242
145,701,527,367
146,119,660,529
147,0,218,347
148,700,564,434
149,0,211,338
150,641,56,183
151,701,500,366
152,0,150,264
153,700,360,293
154,400,601,464
155,0,193,304
156,701,556,411
157,0,331,385
158,385,99,224
159,701,517,382
160,0,167,290
161,701,135,195
162,699,526,382
163,0,161,260
164,701,533,378
165,99,663,534
166,0,219,352
167,701,564,445
168,0,202,337
169,700,50,182
170,622,499,361
171,0,150,240
172,701,534,371
173,24,664,531
174,0,219,351
175,701,564,452
176,0,196,337
177,700,48,181
178,485,497,360
179,0,151,236
180,701,538,372
181,0,373,388
182,301,114,231
183,700,523,361
184,0,195,297
185,700,49,162
186,700,498,353
187,0,150,245
188,701,502,357
189,163,651,519
190,0,214,341
191,701,563,431
192,0,218,340
193,601,58,185
194,700,501,366
195,0,151,269
196,701,322,276
197,466,588,450
198,0,188,295
199,700,553,406
200,0,367,400
201,329,113,236
202,701,523,363
203,0,195,298
204,700,49,163
205,699,498,353
206,0,149,244
207,701,515,363
208,149,656,525
209,0,216,344
210,700,564,432
211,0,210,337
212,620,55,183
213,701,500,365
214,0,150,266
215,700,338,283
216,441,593,456
217,0,190,298
218,701,554,408
219,0,353,394
220,350,107,231
221,700,520,359
222,0,194,296
223,701,49,162
224,700,497,352
225,0,150,242
226,700,523,366
227,126,659,527
228,0,217,346
229,701,564,433
230,0,210,338
231,629,56,183
232,700,500,365
233,0,150,265
234,700,351,289
235,418,598,461
236,0,192,302
237,701,555,410
238,0,338,388
239,372,101,225
240,700,518,355
241,0,193,294
242,700,48,161
243,700,497,352
244,0,150,240
245,700,526,367
246,107,660,528
247,0,218,347
248,701,564,434
249,0,210,338
250,642,55,183
251,700,500,365
252,0,149,263
253,701,364,295
254,391,603,467
255,0,194,305
256,700,556,411
257,0,329,384
258,393,99,223
259,701,517,381
260,0,167,289
261,700,142,200
262,699,528,384
263,0,163,261
264,701,534,380
265,98,664,535
266,0,219,353
267,701,564,445
268,0,202,338
269,700,50,183
270,614,498,361
271,0,151,240
272,701,535,372
273,18,664,532
274,0,220,352
275,700,563,453
276,0,195,337
277,701,48,181
278,484,497,360
279,0,150,235
280,700,538,372
281,0,369,386
282,311,113,230
283,701,523,360
284,0,195,297
285,700,49,163
286,700,497,353
287,0,150,244
288,701,507,359
289,156,653,521
290,0,215,342
291,701,563,431
292,0,211,337
293,605,56,183
294,700,500,364
295,0,151,267
296,701,327,278
297,454,590,453
298,0,189,296
299,701,554,407
300,0,359,397
301,336,110,233
302,701,522,361
303,0,195,297
304,701,49,163
305,700,497,353
306,0,150,243
307,700,520,364
308,136,658,526
309,0,217,346
310,701,564,433
311,0,210,338
312,626,55,183
313,701,500,365
314,0,150,265
315,701,342,285
316,428,595,458
317,0,191,299
318,701,555,409
319,0,345,391
320,361,105,228
321,700,520,358
322,0,194,295
323,700,48,162
324,700,498,352
325,0,150,242
326,700,526,367
327,117,660,529
328,0,218,347
329,701,564,434
330,0,210,338
331,644,55,183
332,701,500,365
333,0,150,263
334,700,364,296
335,397,603,467
336,0,194,305
337,701,556,412
338,0,331,386
339,392,99,224
340,700,517,381
341,0,167,290
342,701,144,200
343,700,529,385
344,0,163,261
345,701,534,380
346,97,664,535
347,0,219,353
348,701,564,446
349,0,202,338
350,700,50,182
351,621,498,361
352,0,151,240
353,701,534,371
354,19,664,532
355,0,219,352
356,701,564,453
357,0,196,337
358,701,48,181
359,477,497,360
360,0,150,235
361,701,538,372
362,0,368,386
363,313,112,230
364,700,523,360
365,0,195,297
366,700,49,163
367,701,498,353
368,0,150,243
369,701,509,360
370,155,654,522
371,0,215,342
372,701,563,432
373,0,210,337
374,606,56,183
375,700,500,364
376,0,151,267
377,701,328,279
378,460,590,453
379,0,189,296
380,701,554,407
381,0,358,397
382,335,110,233
383,700,522,361
384,0,195,297
385,700,49,163
386,700,498,353
387,0,150,242
388,700,520,365
389,130,658,527
390,0,217,346
391,701,564,433
392,0,210,338
393,626,56,183
394,700,500,365
395,0,151,265
396,701,349,289
397,429,598,461
398,0,192,301
399,701,555,409
400,0,345,391
401,369,105,229
402,701,520,358
403,0,193,295
404,700,48,162
405,700,497,352
406,0,150,241
407,701,526,367
408,118,660,529
409,0,218,347
410,701,564,434
411,0,210,338
412,643,55,184
413,701,500,365
414,0,150,263
415,701,357,292
416,393,600,464
417,0,193,303
418,701,556,411
419,0,329,384
420,391,98,223
421,700,516,380
422,0,167,289
423,701,141,198
424,699,527,384
425,0,162,261
426,700,533,379
427,95,663,535
428,0,219,353
